MIM Number	Title	Entrez Gene ID
#300373	OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS; OSCS	
#300376	MUSCULAR DYSTROPHY, BECKER TYPE; BMD	
#300438	HSD10 MITOCHONDRIAL DISEASE; HSD10MD	
#300539	NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS; NSIAD	
#300590	CORNELIA DE LANGE SYNDROME 2; CDLS2	
#300624	FRAGILE X SYNDROME; FXS	
#300695	SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT; SPM	
#300696	MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY; XMPMA	
#300707	TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS; STAR	
#300718	REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET; RBMX1B	
#300816	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6	
#300842	MCLEOD SYNDROME; MCLDS	
#300845	MOYAMOYA DISEASE 4 WITH SHORT STATURE, HYPERGONADOTROPIC HYPOGONADISM, AND FACIAL DYSMORPHISM; MYMY4	
#300855	OGDEN SYNDROME; OGDNS	
#300867	KABUKI SYNDROME 2; KABUK2	
#300868	MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME 2; MCAHS2	
#300887	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 2; LSDMCA2	
#300895	OHDO SYNDROME, X-LINKED; OHDOX	
#300942	CHROMOSOME Xq26.3 DUPLICATION SYNDROME	
#300952	LINEAR SKIN DEFECTS WITH MULTIPLE CONGENITAL ANOMALIES 3; LSDMCA3	
#300958	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, SNIJDERS BLOK TYPE; MRXSSB	
#300960	MEND SYNDROME; MEND	
#300963	RITSCHER-SCHINZEL SYNDROME 2; RTSC2	
#300967	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 34; MRXS34	
#300968	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F	
#300972	IMMUNODEFICIENCY 47; IMD47	
#300978	TONNE-KALSCHEUER SYNDROME; TOKAS	
#300989	MEESTER-LOEYS SYNDROME; MRLS	
#300990	MIDFACE HYPOPLASIA, HEARING IMPAIRMENT, ELLIPTOCYTOSIS, AND NEPHROCALCINOSIS; MFHIEN	
#300998	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 35; MRXS35	
#301021	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30; MC1DN30	
#301022	MULLEGAMA-KLEIN-MARTINEZ SYNDROME; MKMS	
#301030	VAN ESCH-O'DRISCOLL SYNDROME; VEODS	
#301039	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HACKMANN-DI DONATO TYPE; MRXSHD	
#301040	ALPHA-THALASSEMIA/IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME, X-LINKED; ATRX	
#301043	HOLOPROSENCEPHALY 13, X-LINKED; HPE13	
#301044	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 85 WITH OR WITHOUT MIDLINE BRAIN DEFECTS; DEE85	
#301050	ALPORT SYNDROME 1, X-LINKED; ATS1	
#301054	VEXAS SYNDROME; VEXAS	
#301056	MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND	
#301068	HARDIKAR SYNDROME; HDKR	
#301109	AUTOINFLAMMATORY DISEASE, MULTISYSTEM, WITH IMMUNE DYSREGULATION, X-LINKED; ADMIDX	
#301118	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 37; MRXS37	
#301500	FABRY DISEASE	
#302045	CARDIOMYOPATHY, DILATED, 3B; CMD3B	
#302060	BARTH SYNDROME; BTHS	
#303600	COFFIN-LOWRY SYNDROME; CLS	
#304150	OCCIPITAL HORN SYNDROME; OHS	
#305620	FRONTOMETAPHYSEAL DYSPLASIA 1; FMD1	
#306955	HETEROTAXY, VISCERAL, 1, X-LINKED; HTX1	
