
MIM Number	Title	Entrez Gene ID
#300400	SEVERE COMBINED IMMUNODEFICIENCY, X-LINKED; SCIDX1	
#300635	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 2; XLP2	
#300636	IMMUNODEFICIENCY 33; IMD33	
#300645	IMMUNODEFICIENCY 34; IMD34	
#300755	AGAMMAGLOBULINEMIA, X-LINKED; XLA	
#300804	JOUBERT SYNDROME 10; JBTS10	
#300853	IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA; XMEN	
#300855	OGDEN SYNDROME; OGDNS	
#300884	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 36; DEE36	
#300895	OHDO SYNDROME, X-LINKED; OHDOX	
#300896	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIm; CDG2M	
#300953	TRICHOTHIODYSTROPHY 5, NONPHOTOSENSITIVE; TTD5	
#300972	IMMUNODEFICIENCY 47; IMD47	
#300988	IMMUNODEFICIENCY 50; IMD50	
#301000	WISKOTT-ALDRICH SYNDROME; WAS	
#301030	VAN ESCH-O'DRISCOLL SYNDROME; VEODS	
#301045	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE IIr; CDG2R	
#301051	IMMUNODEFICIENCY 74, COVID19-RELATED, X-LINKED; IMD74	
#301054	VEXAS SYNDROME; VEXAS	
#301074	AUTOINFLAMMATORY SYNDROME, FAMILIAL, X-LINKED, BEHCET-LIKE 2; AIFBL2	
#301078	IMMUNODEFICIENCY 98 WITH AUTOINFLAMMATION, X-LINKED; IMD98	
#301080	SYSTEMIC LUPUS ERYTHEMATOSUS 17; SLEB17	
#301081	AUTOINFLAMMATORY DISEASE, SYSTEMIC, X-LINKED; SAIDX	
#301082	IMMUNODEFICIENCY 102; IMD102	
#301094	HIJAZI-REIS SYNDROME; HIJRS	
#301109	AUTOINFLAMMATORY DISEASE, MULTISYSTEM, WITH IMMUNE DYSREGULATION, X-LINKED; ADMIDX	
#301110	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, 8, WITH RHIZOMELIC SHORT STATURE; AHUS8	
#301115	IMMUNODEFICIENCY 118; IMD118	
#301835	ARTS SYNDROME; ARTS	
#302060	BARTH SYNDROME; BTHS	
#304790	IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED; IPEX	
#305000	DYSKERATOSIS CONGENITA, X-LINKED; DKCX	
#306400	GRANULOMATOUS DISEASE, CHRONIC, X-LINKED; CGDX	
#307200	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III, WITH AGAMMAGLOBULINEMIA; IGHD3	
#308230	IMMUNODEFICIENCY WITH HYPER-IgM, TYPE 1; HIGM1	
