
MIM Number	Title	Entrez Gene ID
#300373	OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS; OSCS	
#300376	MUSCULAR DYSTROPHY, BECKER TYPE; BMD	
#300387	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 63; XLID63	
#300400	SEVERE COMBINED IMMUNODEFICIENCY, X-LINKED; SCIDX1	
#300419	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 29; XLID29	
#300422	FG SYNDROME 4; FGS4	
#300423	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, HEDERA TYPE; MRXSH	
#300425	AUTISM, SUSCEPTIBILITY TO, X-LINKED 1; AUTSX1	
#300438	HSD10 MITOCHONDRIAL DISEASE; HSD10MD	
#300472	CORPUS CALLOSUM, AGENESIS OF, WITH IMPAIRED INTELLECTUAL DEVELOPMENT, OCULAR COLOBOMA, AND MICROGNATHIA	
#300475	DEAFNESS, DYSTONIA, AND CEREBRAL HYPOMYELINATION; DDCH	
#300486	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, BILLUART TYPE; MRXSBL	
#300489	NEURONOPATHY, DISTAL HEREDITARY MOTOR, X-LINKED; HMNX	
#300491	EPILEPSY, X-LINKED 1, WITH VARIABLE LEARNING DISABILITIES AND BEHAVIOR DISORDERS; EPILX1	
#300495	AUTISM, SUSCEPTIBILITY TO, X-LINKED 2; AUTSX2	
#300496	AUTISM, SUSCEPTIBILITY TO, X-LINKED 3; AUTSX3	
#300514	FANCONI ANEMIA, COMPLEMENTATION GROUP B; FANCB	
#300523	ALLAN-HERNDON-DUDLEY SYNDROME; AHDS	
#300534	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, CLAES-JENSEN TYPE; MRXSCJ	
#300539	NEPHROGENIC SYNDROME OF INAPPROPRIATE ANTIDIURESIS; NSIAD	
#300555	DENT DISEASE 2; DENT2	
#300558	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 30; XLID30	
#300578	CHROMOSOME Xp11.3 DELETION SYNDROME	
#300590	CORNELIA DE LANGE SYNDROME 2; CDLS2	
#300607	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 8; DEE8	
#300614	DEAFNESS, X-LINKED 5, WITH PERIPHERAL NEUROPATHY; DFNX5	
#300615	BRUNNER SYNDROME; BRNRS	
#300623	FRAGILE X TREMOR/ATAXIA SYNDROME; FXTAS	
#300624	FRAGILE X SYNDROME; FXS	
#300653	PHOSPHOGLYCERATE KINASE 1 DEFICIENCY	
#300659	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 93; XLID93	
#300661	PHOSPHORIBOSYLPYROPHOSPHATE SYNTHETASE SUPERACTIVITY	
#300672	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2	
#300673	ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS	
#300676	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 14; MRXS14	
#300695	SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT; SPM	
#300699	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, WU TYPE; MRXSW	
#300749	INTELLECTUAL DEVELOPMENTAL DISORDER WITH MICROCEPHALY AND PONTINE AND CEREBELLAR HYPOPLASIA; MICPCH	
#300755	AGAMMAGLOBULINEMIA, X-LINKED; XLA	
#300799	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, RAYMOND TYPE; MRXSR	
#300801	CHROMOSOME Xp11.23-p11.22 DUPLICATION SYNDROME	
#300802	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 96; XLID96	
#300803	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 97; XLID97	
#300804	JOUBERT SYNDROME 10; JBTS10	
#300816	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6	
#300830	AUTISM, SUSCEPTIBILITY TO, X-LINKED 4; AUTSX4	
#300831	CK SYNDROME; CKS	
#300842	MCLEOD SYNDROME; MCLDS	
#300844	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 19; XLID19	
