
MIM Number	Title	Entrez Gene ID
#300373	OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS; OSCS	
#300400	SEVERE COMBINED IMMUNODEFICIENCY, X-LINKED; SCIDX1	
#300455	RETINITIS PIGMENTOSA, X-LINKED, AND SINORESPIRATORY INFECTIONS WITH OR WITHOUT DEAFNESS; RPSRDF	
#300635	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 2; XLP2	
#300672	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 2; DEE2	
#300673	ENCEPHALOPATHY, NEONATAL SEVERE, DUE TO MECP2 MUTATIONS	
#300696	MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY; XMPMA	
#300717	REDUCING BODY MYOPATHY, X-LINKED 1A, SEVERE, WITH INFANTILE OR EARLY CHILDHOOD ONSET; RBMX1A	
#300718	REDUCING BODY MYOPATHY, X-LINKED 1B, WITH LATE CHILDHOOD OR ADULT ONSET; RBMX1B	
#300749	INTELLECTUAL DEVELOPMENTAL DISORDER WITH MICROCEPHALY AND PONTINE AND CEREBELLAR HYPOPLASIA; MICPCH	
#300755	AGAMMAGLOBULINEMIA, X-LINKED; XLA	
#300816	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 6; COXPD6	
#300853	IMMUNODEFICIENCY, X-LINKED, WITH MAGNESIUM DEFECT, EPSTEIN-BARR VIRUS INFECTION, AND NEOPLASIA; XMEN	
#300934	CONGENITAL DISORDER OF GLYCOSYLATION, TYPE Iy; CDG1Y	
#300942	CHROMOSOME Xq26.3 DUPLICATION SYNDROME	
#300968	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED 99, SYNDROMIC, FEMALE-RESTRICTED; MRXS99F	
#300978	TONNE-KALSCHEUER SYNDROME; TOKAS	
#300988	IMMUNODEFICIENCY 50; IMD50	
#300991	CILIARY DYSKINESIA, PRIMARY, 36, X-LINKED; CILD36	
#301000	WISKOTT-ALDRICH SYNDROME; WAS	
#301020	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 12; MC1DN12	
#301021	MITOCHONDRIAL COMPLEX I DEFICIENCY, NUCLEAR TYPE 30; MC1DN30	
#301030	VAN ESCH-O'DRISCOLL SYNDROME; VEODS	
#301051	IMMUNODEFICIENCY 74, COVID19-RELATED, X-LINKED; IMD74	
#301054	VEXAS SYNDROME; VEXAS	
#301056	MULTIPLE CONGENITAL ANOMALIES-NEURODEVELOPMENTAL SYNDROME, X-LINKED; MCAND	
#301058	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 90; DEE90	
#301069	CHROMOSOME Xq13 DUPLICATION SYNDROME	
#301074	AUTOINFLAMMATORY SYNDROME, FAMILIAL, X-LINKED, BEHCET-LIKE 2; AIFBL2	
#301078	IMMUNODEFICIENCY 98 WITH AUTOINFLAMMATION, X-LINKED; IMD98	
#301082	IMMUNODEFICIENCY 102; IMD102	
#301109	AUTOINFLAMMATORY DISEASE, MULTISYSTEM, WITH IMMUNE DYSREGULATION, X-LINKED; ADMIDX	
#301118	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC 37; MRXS37	
#301220	PIGMENTARY DISORDER, RETICULATE, WITH SYSTEMIC MANIFESTATIONS, X-LINKED; PDR	
#301500	FABRY DISEASE	
#301830	SPINAL MUSCULAR ATROPHY, X-LINKED 2; SMAX2	
#301835	ARTS SYNDROME; ARTS	
#302960	CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DOMINANT; CDPX2	
#304120	OTOPALATODIGITAL SYNDROME, TYPE II; OPD2	
#305000	DYSKERATOSIS CONGENITA, X-LINKED; DKCX	
#305100	ECTODERMAL DYSPLASIA 1, HYPOHIDROTIC, X-LINKED; XHED	
#305450	OPITZ-KAVEGGIA SYNDROME; OKS	
#305600	FOCAL DERMAL HYPOPLASIA; FDH	
#305620	FRONTOMETAPHYSEAL DYSPLASIA 1; FMD1	
#306400	GRANULOMATOUS DISEASE, CHRONIC, X-LINKED; CGDX	
#306955	HETEROTAXY, VISCERAL, 1, X-LINKED; HTX1	
#307200	ISOLATED GROWTH HORMONE DEFICIENCY, TYPE III, WITH AGAMMAGLOBULINEMIA; IGHD3	
#308050	CONGENITAL HEMIDYSPLASIA WITH ICHTHYOSIFORM ERYTHRODERMA AND LIMB DEFECTS	
#308240	LYMPHOPROLIFERATIVE SYNDROME, X-LINKED, 1; XLP1	
#308350	DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 1; DEE1	
#308940	LEIOMYOMATOSIS, DIFFUSE, WITH ALPORT SYNDROME; DL-ATS	
#309350	MELNICK-NEEDLES SYNDROME; MNS	
#309500	RENPENNING SYNDROME 1; RENS1	
#309555	INTELLECTUAL DEVELOPMENTAL DISORDER, X-LINKED, SYNDROMIC, GUSTAVSON TYPE; MRXSG	
#309800	MICROPHTHALMIA, SYNDROMIC 1; MCOPS1	
#309900	MUCOPOLYSACCHARIDOSIS, TYPE II; MPS2	
#310200	MUSCULAR DYSTROPHY, DUCHENNE TYPE; DMD	
#310400	MYOPATHY, CENTRONUCLEAR, X-LINKED; CNMX	
#310440	MYOPATHY, X-LINKED, WITH EXCESSIVE AUTOPHAGY; MEAX	
#311900	TARP SYNDROME; TARPS	
#312080	PELIZAEUS-MERZBACHER DISEASE; PMD	
#312750	RETT SYNDROME; RTT	
#312863	COMBINED IMMUNODEFICIENCY, X-LINKED; CIDX	
#312870	SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1; SGBS1	
#314390	VACTERL ASSOCIATION, X-LINKED, WITH OR WITHOUT HYDROCEPHALUS; VACTERLX	
#314580	WIEACKER-WOLFF SYNDROME; WRWF	
#500009	MITOCHONDRIAL MYOPATHY, INFANTILE, TRANSIENT; MMIT	
#500013	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, MITOCHONDRIAL FORM, 1; CMTMA1	
#147791	JACOBSEN SYNDROME; JBS	
#147920	KABUKI SYNDROME 1; KABUK1	
#150230	TRICHORHINOPHALANGEAL SYNDROME, TYPE II; TRPS2	
#150250	LARSEN SYNDROME; LRS	
#150550	PERIODIC FEVER, IMMUNODEFICIENCY, AND THROMBOCYTOPENIA SYNDROME; PFITS	
#151200	CHROMOSOME 8q22.1 DUPLICATION SYNDROME	
#151800	LIPOMATOSIS, MULTIPLE SYMMETRIC, WITH OR WITHOUT AXONAL PERIPHERAL NEUROPATHY; MSL	
#152700	SYSTEMIC LUPUS ERYTHEMATOSUS; SLE	
#154400	ACROFACIAL DYSOSTOSIS 1, NAGER TYPE; AFD1	
#154700	MARFAN SYNDROME; MFS	
#156240	MESOTHELIOMA, MALIGNANT; MESOM	
#156530	METATROPIC DYSPLASIA; MTD	
#156550	KNIEST DYSPLASIA	
#158310	MUCOEPITHELIAL DYSPLASIA, HEREDITARY; HMD	
#158580	NEURONOPATHY, DISTAL HEREDITARY MOTOR, AUTOSOMAL DOMINANT 7; HMND7	
#158810	BETHLEM MYOPATHY 1A; BTHLM1A	
#158900	FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1; FSHD1	
#159950	SPINAL MUSCULAR ATROPHY WITH PROGRESSIVE MYOCLONIC EPILEPSY; SMAPME	
#160565	MYOPATHY, TUBULAR AGGREGATE, 1; TAM1	
#161800	CONGENITAL MYOPATHY 2A, TYPICAL, AUTOSOMAL DOMINANT; CMYP2A	
#164280	FEINGOLD SYNDROME 1; FGLDS1	
#164310	OCULOPHARYNGODISTAL MYOPATHY 1; OPDM1	
#166210	OSTEOGENESIS IMPERFECTA, TYPE II; OI2	
#166250	OSTEOGLOPHONIC DYSPLASIA; OGD	
#167800	PANCREATITIS, HEREDITARY; PCTT	
#168000	PHEOCHROMOCYTOMA/PARAGANGLIOMA SYNDROME 1; PPGL1	
#168300	PARAMYOTONIA CONGENITA; PMC	
#168605	PERRY SYNDROME	
#170100	PROLIDASE DEFICIENCY	
#100800	ACHONDROPLASIA; ACH	
#101200	APERT SYNDROME	
#101600	PFEIFFER SYNDROME	
#102700	SEVERE COMBINED IMMUNODEFICIENCY, AUTOSOMAL RECESSIVE, T CELL-NEGATIVE, B CELL-NEGATIVE, NK CELL-NEGATIVE, DUE TO ADENOSINE DEAMINASE DEFICIENCY	
#106100	ANGIOEDEMA, HEREDITARY, 1; HAE1	
#108145	ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5	
#108720	ATELOSTEOGENESIS, TYPE I; AO1	
#109400	BASAL CELL NEVUS SYNDROME 1; BCNS1	
#113900	PROGRESSIVE FAMILIAL HEART BLOCK, TYPE IA; PFHB1A	
#114290	CAMPOMELIC DYSPLASIA; CMPD	
#115197	CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 4; CMH4	
#115210	CARDIOMYOPATHY, FAMILIAL RESTRICTIVE, 1; RCM1	
#117000	CONGENITAL MYOPATHY 1A, AUTOSOMAL DOMINANT, WITH SUSCEPTIBILITY TO MALIGNANT HYPERTHERMIA; CMYP1A	
#117650	CEREBROCOSTOMANDIBULAR SYNDROME; CCMS	
#119600	CLEIDOCRANIAL DYSPLASIA 1; CLCD1	
#121200	SEIZURES, BENIGN FAMILIAL NEONATAL, 1; BFNS1	
#122470	CORNELIA DE LANGE SYNDROME 1; CDLS1	
#122860	CRANIODIAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CDD	
#123000	CRANIOMETAPHYSEAL DYSPLASIA, AUTOSOMAL DOMINANT; CMDD	
#123500	CROUZON SYNDROME	
#173600	PNEUMOTHORAX, PRIMARY SPONTANEOUS; PSP	
#174050	POLYCYSTIC LIVER DISEASE 1 WITH OR WITHOUT KIDNEY CYSTS; PCLD1	
#175050	JUVENILE POLYPOSIS/HEREDITARY HEMORRHAGIC TELANGIECTASIA SYNDROME; JPHT	
#175200	PEUTZ-JEGHERS SYNDROME; PJS	
#176000	PORPHYRIA, ACUTE INTERMITTENT; AIP	
#176270	PRADER-WILLI SYNDROME; PWS	
#176860	THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT; THPH3	
#176920	PROTEUS SYNDROME	
#178500	INTERSTITIAL LUNG DISEASE 2; ILD2	
#178600	PULMONARY HYPERTENSION, PRIMARY, 1; PPH1	
#180300	RHEUMATOID ARTHRITIS; RA	
#180849	RUBINSTEIN-TAYBI SYNDROME 1; RSTS1	
#180920	APLASIA OF LACRIMAL AND SALIVARY GLANDS; ALSG	
#181000	SARCOIDOSIS, SUSCEPTIBILITY TO, 1; SS1	
#181405	SCAPULOPERONEAL SPINAL MUSCULAR ATROPHY; SPSMA	
#181450	ULNAR-MAMMARY SYNDROME; UMS	
#182212	SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME; SGS	
#182250	SINGLETON-MERTEN SYNDROME 1; SGMRT1	
#183900	SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC	
#184260	ODONTOCHONDRODYSPLASIA 1; ODCD1	
#187300	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 1; HHT1	
#187600	THANATOPHORIC DYSPLASIA, TYPE I; TD1	
#187601	THANATOPHORIC DYSPLASIA, TYPE II; TD2	
#188050	THROMBOPHILIA DUE TO THROMBIN DEFECT; THPH1	
#190350	TRICHORHINOPHALANGEAL SYNDROME, TYPE I; TRPS1	
#191100	TUBEROUS SCLEROSIS 1; TSC1	
#123700	CUTIS LAXA, AUTOSOMAL DOMINANT 1; ADCL1	
#123790	BEARE-STEVENSON CUTIS GYRATA SYNDROME; BSTVS	
#127550	DYSKERATOSIS CONGENITA, AUTOSOMAL DOMINANT 1; DKCA1	
#128101	DYSTONIA 4, TORSION, AUTOSOMAL DOMINANT; DYT4	
#130050	EHLERS-DANLOS SYNDROME, VASCULAR TYPE; EDSVASC	
#131760	EPIDERMOLYSIS BULLOSA SIMPLEX 1A, GENERALIZED SEVERE; EBS1A	
#133100	ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1	
#134610	FAMILIAL MEDITERRANEAN FEVER, AUTOSOMAL DOMINANT	
#135100	FIBRODYSPLASIA OSSIFICANS PROGRESSIVA; FOP	
#135150	BIRT-HOGG-DUBE SYNDROME 1; BHD1	
#135900	COFFIN-SIRIS SYNDROME 1; CSS1	
#137940	HYPOTRICHOSIS-LYMPHEDEMA-TELANGIECTASIA-RENAL DEFECT SYNDROME; HLTRS	
#139210	MYHRE SYNDROME; MYHRS	
#143860	HYPERCHLORHIDROSIS, ISOLATED; HYCHL	
#145420	TEEBI HYPERTELORISM SYNDROME 1; TBHS1	
#146510	PALLISTER-HALL SYNDROME; PHS	
#147060	HYPER-IgE SYNDROME 1, AUTOSOMAL DOMINANT, WITH RECURRENT INFECTIONS; HIES1	
#600072	FATAL FAMILIAL INSOMNIA; FFI	
#600373	CODAS SYNDROME	
